FIPS,NAICS2017,NAICS2017_LABEL,n
13217,44511,Supermarkets and other grocery (except convenience) stores,18
13217,4453,"Beer, wine, and liquor stores",5
13217,722,Food services and drinking places,127
13227,4451,Grocery stores,8
13227,44511,Supermarkets and other grocery (except convenience) stores,5
13227,4453,"Beer, wine, and liquor stores",4
13227,722,Food services and drinking places,50
13133,4451,Grocery stores,8
13133,44511,Supermarkets and other grocery (except convenience) stores,6
13133,4453,"Beer, wine, and liquor stores",3
13133,722,Food services and drinking places,30
13071,4451,Grocery stores,24
13071,44511,Supermarkets and other grocery (except convenience) stores,13
13071,4453,"Beer, wine, and liquor stores",7
13071,722,Food services and drinking places,58
13075,4451,Grocery stores,8
13075,44511,Supermarkets and other grocery (except convenience) stores,4
13075,722,Food services and drinking places,29
13085,4451,Grocery stores,7
13085,44511,Supermarkets and other grocery (except convenience) stores,4
13085,4453,"Beer, wine, and liquor stores",5
13085,722,Food services and drinking places,57
13063,4451,Grocery stores,97
13063,44511,Supermarkets and other grocery (except convenience) stores,52
13063,4453,"Beer, wine, and liquor stores",11
13063,722,Food services and drinking places,347
13063,7224,Drinking places (alcoholic beverages),7
13121,4451,Grocery stores,307
13121,44511,Supermarkets and other grocery (except convenience) stores,177
13121,4453,"Beer, wine, and liquor stores",116
13121,722,Food services and drinking places,3184
13121,7224,Drinking places (alcoholic beverages),125
13139,4451,Grocery stores,54
13139,44511,Supermarkets and other grocery (except convenience) stores,36
13139,4453,"Beer, wine, and liquor stores",21
13139,722,Food services and drinking places,289
15001,4451,Grocery stores,60
15001,44511,Supermarkets and other grocery (except convenience) stores,42
15001,4453,"Beer, wine, and liquor stores",5
15001,722,Food services and drinking places,419
15001,7224,Drinking places (alcoholic beverages),18
15003,4451,Grocery stores,279
15003,44511,Supermarkets and other grocery (except convenience) stores,174
15003,4453,"Beer, wine, and liquor stores",50
15003,722,Food services and drinking places,2443
15003,7224,Drinking places (alcoholic beverages),153
15009,4451,Grocery stores,66
15009,44511,Supermarkets and other grocery (except convenience) stores,50
15009,4453,"Beer, wine, and liquor stores",6
15009,722,Food services and drinking places,442
15009,7224,Drinking places (alcoholic beverages),16
15007,4451,Grocery stores,31
15007,44511,Supermarkets and other grocery (except convenience) stores,22
15007,4453,"Beer, wine, and liquor stores",4
15007,722,Food services and drinking places,238
16071,722,Food services and drinking places,10
16031,4451,Grocery stores,6
16031,44511,Supermarkets and other grocery (except convenience) stores,4
16031,722,Food services and drinking places,53
16031,7224,Drinking places (alcoholic beverages),4
16045,722,Food services and drinking places,25
16063,4451,Grocery stores,3
16063,44511,Supermarkets and other grocery (except convenience) stores,3
16063,722,Food services and drinking places,5
16085,4451,Grocery stores,5
16085,44511,Supermarkets and other grocery (except convenience) stores,4
16085,722,Food services and drinking places,52
16085,7224,Drinking places (alcoholic beverages),7
16003,722,Food services and drinking places,10
16041,722,Food services and drinking places,19
31139,4451,Grocery stores,4
31139,44511,Supermarkets and other grocery (except convenience) stores,4
31139,722,Food services and drinking places,12
31139,7224,Drinking places (alcoholic beverages),3
31021,722,Food services and drinking places,10
31025,4451,Grocery stores,4
31025,44511,Supermarkets and other grocery (except convenience) stores,4
31025,4453,"Beer, wine, and liquor stores",3
